batter,runs,rank
"GD Phillips",44,256
"D Pretorius",44,256
"M Rawat",43,259
"B Lee",43,259
"MJ McClenaghan",43,259
"Aman Hakim Khan",43,259
"PR Veer",43,259
"K Goel",42,264
"Iqbal Abdulla",42,264
"AC Voges",41,266
"SM Pollock",39,267
"SA Asnodkar",39,267
"R McLaren",39,267
"AB McDonald",39,267
"ML Hayden",38,271
"DL Vettori",38,271
"Harpreet Brar",38,271
"MJ Lumb",37,274
"B Chipli",37,274
"J Botha",37,274
"S Rana",37,274
"Shivam Mavi",37,274
"AD Hales",37,274
"Kamran Akmal",36,280
"SB Styris",36,280
"MF Maharoof",36,280
"S Aravind",36,280
"UBT Chand",36,280
"KA Jamieson",36,280
"M Kartik",35,286
"JJ Bumrah",35,286
"PVD Chameera",35,286
"PD Collingwood",33,289
"Anmolpreet Singh",33,289
"LA Pomersbach",33,289
"SM Katich",32,292
"JD Ryder",32,292
"CJ Anderson",32,292
"A Nortje",32,292
"C Connolly",32,292
"Ravi Bishnoi",31,297
"DJ Willey",31,297
"A Nehra",30,299
"AP Dole",30,299
"S Nadeem",30,299
"PWH de Silva",30,299
"PBB Rajapaksa",30,299
"AB Agarkar",28,304
"MM Patel",28,304
"RN ten Doeschate",28,304
"YS Chahal",28,304
"FH Allen",28,304
"GH Vihari",27,309
"PHKD Mendis",27,309
"Umar Gul",26,311
"R Rampaul",26,311
"LJ Wright",26,311
"TG Southee",26,311
"C Munro",26,311
"M Jansen",26,311
"A Mithun",26,311
"Anureet Singh",25,318
"CR Woakes",25,318
"Ankit Sharma",24,320
"PA Reddy",24,320
"DJG Sammy",24,320
"M Markande",24,320
"TR Birt",24,320
"CR Brathwaite",24,320
"I Sharma",23,326
"AN Ahmed",23,326
"DH Yagnik",23,326
"AP Tare",23,326
"Umran Malik",23,326
"RV Patel",23,326
"MJ Guptill",23,326
"A Kumble",22,333
"SD Chitnis",22,333
"JM Kemp",22,333
"KW Richardson",22,333
"AF Milne",22,333
"DR Sams",22,333
"Sediqullah Atal",22,333
"SK Trivedi",21,340
"KB Arun Karthik",21,340
"MJ Clarke",21,340
"Yudhvir Singh",21,340
"ST Jayasuriya",20,344
"MS Gony",20,344
"RP Singh",20,344
"Joginder Sharma",20,344
"AC Thomas",20,344
"Harpreet Singh",20,344
"SP Jackson",20,344
"Rahmanullah Gurbaz",20,344
"Noor Ahmad",20,344
"BKG Mendis",20,344
"RR Sarwan",20,344
"HM Amla",20,344
"SB Bangar",19,356
"WPUJC Vaas",19,356
"AS Rajpoot",19,356
"VR Aaron",19,356
"Rasikh Salam",19,356
"P Ray Barman",19,356
"AS Joseph",19,356
"Navdeep Saini",19,356
"MG Bracewell",19,356
"A Kamboj",19,356
"AD Mascarenhas",18,366
"AU Rashid",18,366
"Kumar Kushagra",18,366
"MA Khote",17,369
"LPC Silva",17,369
"Yashpal Singh",17,369
"RE van der Merwe",17,369
"JJ van der Wath",17,369
"GB Hogg",17,369
"RJ Peterson",17,369
"Akash Deep",17,369
"R Sai Kishore",17,369
"LH Ferguson",17,369
"R Sharma",16,379
"PV Tambe",16,379
"NM Coulter-Nile",16,379
"AJ Turner",16,379
"Kartik Tyagi",16,379
"B Sumanth",16,379
"B Akhil",15,385
"L Balaji",15,385
"AA Bilakhia",15,385
"CJ Ferguson",15,385
"CJ Jordan",15,385
"R Shukla",15,385
"MN Samuels",14,391
"AP Majumdar",14,391
"JR Hazlewood",14,391
Naveen-ul-Haq,14,391
"G Coetzee",14,391
"SK Rasheed",14,391
"HH Gibbs",13,397
"RR Powar",13,397
"MEK Hussey",13,397
"Parvez Rasool",13,397
"Imran Tahir",13,397
"M Ashwin",13,397
"M Theekshana",13,397
"HC Brook",13,397
"Arjun Tendulkar",13,397
"YV Dhull",13,397
"Azmatullah Omarzai",13,397
"KC Cariappa",13,397
"AB Dinda",12,409
"PJ Sangwan",12,409
"S Sreesanth",12,409
"K Upadhyay",12,409
"Karanveer Singh",12,409
"Mujeeb Ur Rahman",12,409
"Vijaykumar Vyshak",12,409
"S Narwal",12,409
"DAJ Bracewell",12,409
"RR Raje",11,418
"WD Parnell",11,418
"AUK Pathan",11,418
"BMAJ Mendis",11,418
"J Syed Mohammad",11,418
"Basil Thampi",11,418
"CV Varun",11,418
"A Manohar",11,418
"K Kartikeya",11,418
"SW Tait",11,418
"KAJ Roach",10,428
"DJ Harris",10,428
"A Choudhary",10,428
"Mukesh Kumar",10,428
"AA Noffke",9,432
"DT Patil",9,432
"DNT Zoysa",9,432
"NL McCullum",9,432
"J Theron",9,432
"Arshdeep Singh",9,432
"Mohsin Khan",9,432
"DG Nalkande",9,432
"L Wood",9,432
"AA Kulkarni",9,432
"Aniket Verma",9,432
"F Behardien",9,432
"UT Khawaja",9,432
"P Dubey",9,432
"JDP Oram",8,446
"FY Fazal",8,446
"S Kaul",8,446
"SA Abbott",8,446
"TA Boult",8,446
"FA Allen",8,446
"MD Shanaka",8,446
"CK Langeveldt",8,446
"OF Smith",8,446
"D Salunkhe",7,455
"VY Mahesh",7,455
Misbah-ul-Haq,7,455
"SP Fleming",7,455
"M Muralitharan",7,455
"MD Mishra",7,455
"AG Murtaza",7,455
"KL Nagarkoti",7,455
"A Zampa",7,455
"Sanvir Singh",7,455
"Vishnu Vinod",7,455
"Sumit Kumar",7,455
"MS Wade",7,455
"AB Barath",7,455
"W Jaffer",6,469
"Pankaj Singh",6,469
"WA Mota",6,469
"TS Mills",6,469
"M Prasidh Krishna",6,469
"JP Behrendorff",6,469
"Kartik Sharma",6,469
"Sunny Singh",6,469
"CK Kapugedera",5,477
"PR Shah",5,477
"RJ Quiney",5,477
"BB Sran",5,477
"MA Wood",5,477
"T Banton",5,477
"C Sakariya",5,477
"SH Johnson",5,477
"Prince Yadav",5,477
"KMDN Kulasekara",5,477
"PP Ojha",4,487
"Jaskaran Singh",4,487
"DP Nannes",4,487
"AA Chavan",4,487
"B Laughlin",4,487
"Mustafizur Rahman",4,487
"T Natarajan",4,487
"AT Carey",4,487
"HE van der Dussen",4,487
"Fazalhaq Farooqi",4,487
"A Tomar",4,487
"Akash Madhwal",4,487
"Harmeet Singh",4,487
"KT Maphaka",4,487
"GD McGrath",4,487
"S Sriram",4,487
"Auqib Nabi",4,487
"SB Joshi",3,504
"CRD Fernando",3,504
"Younis Khan",3,504
"Kamran Khan",3,504
"Anirudh Singh",3,504
"S Tyagi",3,504
"R Ninan",3,504
"AD Nath",3,504
"RJW Topley",3,504
"R Minz",3,504
"Yash Dayal",3,504
"L Ngidi",3,504
"N Burger",3,504
"Mohammad Asif",3,504
"M Tiwari",3,504
"L Ronchi",2,519
"AS Yadav",2,519
"H Das",2,519
"VS Yeligati",2,519
"BAW Mendis",2,519
"RS Gavaskar",2,519
"KP Appanna",2,519
"S Randiv",2,519
"JE Taylor",2,519
"S Badree",2,519
"SD Lad",2,519
"RK Bhui",2,519
"NS Naik",2,519
"T Shamsi",2,519
"GHS Garton",2,519
"Mukesh Choudhary",2,519
"Simarjeet Singh",2,519
"Swapnil Singh",2,519
"VG Arora",2,519
"MJ Henry",2,519
"A Chopra",2,519
"Suryansh Shedge",2,519
"CA Ingram",2,519
"JA Richardson",2,519
"Salman Butt",1,543
"VVS Laxman",1,543
"PM Sarvesh Kumar",1,543
"T Thushara",1,543
"R Bishnoi",1,543
"MN van Wyk",1,543
"Shoaib Ahmed",1,543
"SE Bond",1,543
"S Anirudha",1,543
"A Singh",1,543
"SP Goswami",1,543
"N Saini",1,543
"SMSM Senanayake",1,543
"KK Ahmed",1,543
"I Udana",1,543
"AS Roy",1,543
"Abdul Basith",1,543
"DS Rathi",1,543
"Sohail Tanvir",1,543
"NT Ellis",1,543
"Shahid Afridi",0,563
"J Arunkumar",0,563
"Abdur Razzak",0,563
"M Ntini",0,563
