pp,wk,ve,tot
22,2,44,121.53580930766053
22,3,0,118.52572016359376
22,3,1,118.54855728606186
22,3,2,118.57139440852995
22,3,3,118.59423153099806
22,3,4,118.61706865346616
22,3,5,118.63990577593427
22,3,6,118.66274289840237
22,3,7,118.68558002087046
22,3,8,118.70841714333856
22,3,9,118.73125426580667
22,3,10,118.75409138827476
22,3,11,118.77692851074286
22,3,12,118.79976563321097
22,3,13,118.82260275567907
22,3,14,118.84543987814716
22,3,15,118.86827700061527
22,3,16,118.89111412308337
22,3,17,118.91395124555146
22,3,18,118.93678836801956
22,3,19,118.95962549048767
22,3,20,118.98246261295577
22,3,21,119.00529973542388
22,3,22,119.02813685789197
22,3,23,119.05097398036007
22,3,24,119.07381110282817
22,3,25,119.09664822529626
22,3,26,119.11948534776437
22,3,27,119.14232247023247
22,3,28,119.16515959270058
22,3,29,119.18799671516867
22,3,30,119.21083383763677
22,3,31,119.23367096010487
22,3,32,119.25650808257296
22,3,33,119.27934520504107
22,3,34,119.30218232750917
22,3,35,119.32501944997728
22,3,36,119.34785657244538
22,3,37,119.37069369491347
22,3,38,119.39353081738157
22,3,39,119.41636793984968
22,3,40,119.43920506231777
22,3,41,119.46204218478587
22,3,42,119.48487930725398
22,3,43,119.50771642972208
22,3,44,119.53055355219018
22,4,0,116.52046440812342
22,4,1,116.54330153059152
22,4,2,116.56613865305962
22,4,3,116.58897577552771
22,4,4,116.61181289799582
22,4,5,116.63465002046392
22,4,6,116.65748714293201
22,4,7,116.68032426540012
22,4,8,116.70316138786822
22,4,9,116.72599851033632
22,4,10,116.74883563280441
22,4,11,116.77167275527252
22,4,12,116.79450987774062
22,4,13,116.81734700020871
22,4,14,116.84018412267682
22,4,15,116.86302124514492
22,4,16,116.88585836761303
22,4,17,116.90869549008113
22,4,18,116.93153261254922
22,4,19,116.95436973501732
22,4,20,116.97720685748543
22,4,21,117.00004397995352
22,4,22,117.02288110242162
22,4,23,117.04571822488973
22,4,24,117.06855534735783
22,4,25,117.09139246982593
22,4,26,117.11422959229402
22,4,27,117.13706671476213
22,4,28,117.15990383723023
22,4,29,117.18274095969832
22,4,30,117.20557808216643
22,4,31,117.22841520463453
